Movie_Title,new_censor
Wyatt Earp,kids
Demolition Man,adults
Lethal Weapon 3,kids
Hot Shots!,kids
Backdraft,kids
Teenage Mutant Ninja Turtles,kids
Colors,kids
Stakeout,adults
The Living Daylights,kids
Hamburger Hill,unrated
Commando,kids
The Last Starfighter,kids
TRON,kids
For Your Eyes Only,adults
The Enforcer,unrated
The Man with the Golden Gun,adults
Live and Let Die,kids
21 Bridges,adults
Enola Holmes,teens
Marighella,unrated
The Old Guard,adults
Anna,adults
The Art of Self-Defense,adults
Adrift,kids
The Aeronauts,teens
The Fate of the Furious,kids
The Girl with All the Gifts,adults
Overlord,adults
Alpha,kids
Jason Bourne,kids
Kong: Skull Island,kids
Bølgen,adults
The Lego Movie 2: The Second Part,kids
Raees,kids
Red Sparrow,adults
The Heat,adults
Run All Night,adults
The Hunger Games: Mockingjay - Part 1,kids
The Amazing Spider-Man 2,kids
Hunter Killer,kids
Divergent,kids
The Informer,adults
RED 2,kids
The Expendables 2,adults
Ender's Game,kids
Man on a Ledge,kids
Elysium,adults
Attack the Block,adults
The Other Guys,adults
Pirates of the Caribbean: On Stranger Tides,kids
Venom,kids
Edge of Darkness,adults
The Bourne Legacy,kids
L'immortel,unrated
The Harder They Fall,teens
Eagle Eye,adults
Machete,adults
Robin Hood,teens
Jungle Cruise,kids
Epic,kids
Quantum of Solace,kids
The Incredible Hulk,kids
Seraphim Falls,adults
Smokin' Aces,adults
Prince of Persia: The Sands of Time,kids
Shoot 'Em Up,adults
16 Blocks,kids
Vantage Point,adults
Flushed Away,kids
John Carter,kids
30 Days of Night,adults
X-Men: The Last Stand,adults
The Rundown,kids
Tears of the Sun,adults
The Chronicles of Riddick,kids
The Recruit,adults
Wasabi,kids
Kiss of the Dragon,kids
Rush Hour 2,kids
Joy Ride,adults
The Way of the Gun,adults
Shanghai Noon,kids
Bad Boys II,kids
Austin Powers: The Spy Who Shagged Me,kids
U-571,kids
Lethal Weapon 4,adults
Star Wars: Episode II - Attack of the Clones,kids
Titan A.E.,kids
Resident Evil,adults
The 13th Warrior,kids
Courage Under Fire,kids
Outbreak,kids
Star Trek: Generations,kids
Hot Shots! Part Deux,adults
New Jack City,adults
Road House,unrated
Licence to Kill,kids
Ghostbusters II,kids
Black Rain,adults
The Running Man,adults
Crocodile Dundee,kids
Star Trek III: The Search for Spock,kids
Sudden Impact,adults
Outland,kids
Rollerball,kids
The Tomorrow War,teens
The Hunt,adults
War,kids
Mandy,unrated
Fast & Furious Presents: Hobbs & Shaw,adults
Pokémon: Detective Pikachu,kids
Sonic the Hedgehog,kids
Nerve,kids
Tag,adults
The Interview,kids
Star Wars: Episode IX - The Rise of Skywalker,kids
Homefront,adults
Olympus Has Fallen,adults
Self/less,teens
The Hunger Games: Mockingjay - Part 2,kids
Pirates of the Caribbean: Dead Men Tell No Tales,kids
Fetih 1453,unrated
Safe,adults
Kick-Ass 2,adults
The Gray Man,teens
Premium Rush,kids
Bad Boys for Life,adults
Yi dai zong shi,teens
12 Strong,adults
Seungriho,teens
Banlieue 13: Ultimatum,kids
Sonic the Hedgehog 2,kids
Never Back Down,teens
Fast & Furious,kids
The International,adults
The Forbidden Kingdom,kids
Underworld: Rise of the Lycans,adults
The Chronicles of Narnia: Prince Caspian,kids
The Mechanic,adults
National Treasure: Book of Secrets,kids
X-Men Origins: Wolverine,kids
Sin City: A Dame to Kill For,adults
Flyboys,teens
Dhoom:2,kids
Terminator Salvation,kids
Get Smart,kids
The Spiderwick Chronicles,kids
War of the Worlds,kids
A Walk Among the Tombstones,adults
Spartan,adults
Mr. & Mrs. Smith,teens
Ladder 49,kids
Hostage,adults
Cellular,teens
Heist,adults
Swordfish,adults
The Four Feathers,teens
Gone in Sixty Seconds,kids
Space Cowboys,kids
Taxi 2,kids
Star Wars: Episode I - The Phantom Menace,kids
U.S. Marshals,adults
The Man in the Iron Mask,adults
Tomorrow Never Dies,adults
The Lost World: Jurassic Park,kids
Air Force One,kids
Executive Decision,kids
The Quick and the Dead,adults
Cliffhanger,adults
Under Siege,adults
The Rocketeer,kids
Young Guns II,adults
Beverly Hills Cop II,adults
Rambo: First Blood Part II,unrated
Octopussy,kids
Flash Gordon,kids
Diamonds Are Forever,kids
Batman: The Movie,unrated
Way Down,adults
Greenland,kids
Peppermint,adults
Revenge,adults
Angel Has Fallen,kids
The Angry Birds Movie 2,kids
Escape Room,adults
Batman: The Killing Joke,kids
Shaft,kids
Now You See Me 2,kids
Batman v Superman: Dawn of Justice,kids
The Purge: Anarchy,adults
Lucy,adults
Son of a Gun,adults
Need for Speed,kids
Live by Night,adults
The Rover,adults
Redirected,unrated
Valerian and the City of a Thousand Planets,kids
Dead Man Down,adults
Pain & Gain,teens
Tomorrowland,kids
Let's Be Cops,adults
How I Live Now,adults
Kill List,unrated
Colombiana,adults
Here Comes the Boom,kids
Savages,adults
Act of Valor,adults
Contraband,adults
Triple Frontier,adults
Killer Elite,adults
Faster,adults
Predators,adults
Riddick,adults
The Expendables,adults
Army of Thieves,teens
The Lone Ranger,kids
Black Death,adults
From Paris with Love,adults
Baiohazâdo: Dijenerêshon,adults
The Taking of Pelham 123,kids
Thor: Love and Thunder,kids
Salt,kids
Monsters vs. Aliens,kids
Snitch,kids
Godzilla,kids
Death Race,adults
Hancock,kids
Daybreakers,adults
Dnevnoy dozor,adults
Nochnoy dozor,adults
Chaos,adults
The Punisher,adults
The Day After Tomorrow,kids
Blood Work,adults
Ned Kelly,adults
Basic,adults
Star Trek: Nemesis,unrated
Rat Race,teens
